# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=6][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=10][T/m^n] polynom_b[n=12][T/m^n] polynom_b[n=14][T/m^n] 
+1.2640000000000001e+02 -6.1839708420027989e-06 -7.9420411519927940e+00 +4.9073213582997550e+03 -1.5783589299572113e+06 +7.2395074127018671e+09 -3.2224709097546211e+13 +6.5236383964780352e+16 -5.1824382670795407e+19 
+1.2650000000000000e+02 -6.2744380072874304e-06 -7.8670681013655281e+00 +4.8602316617086299e+03 -1.5533765262797016e+06 +6.9279334652875576e+09 -3.0899990527502559e+13 +6.2661355861391888e+16 -4.9828310613168628e+19 
+1.2660000000000001e+02 -6.3649051836148855e-06 -7.7920950473823458e+00 +4.8131417983523015e+03 -1.5283910121696009e+06 +6.6163318850528584e+09 -2.9575145970251055e+13 +6.0086043083621328e+16 -4.7831986052048298e+19 
+1.2670000000000000e+02 -6.4553723436192618e-06 -7.7171219983560704e+00 +4.7660521815876673e+03 -1.5034101056805744e+06 +6.3047713198114996e+09 -2.8250488777981930e+13 +5.7511154437546856e+16 -4.5836038319518319e+19 
+1.2680000000000001e+02 -6.5458395160563106e-06 -7.6421489456403409e+00 +4.7189623835144166e+03 -1.4784258353726815e+06 +5.9931809423144264e+09 -2.6925695781446609e+13 +5.4935958953496568e+16 -4.3839818319302091e+19 
+1.2690000000000001e+02 -6.6363067080349889e-06 -7.5671758869833630e+00 +4.6718722893960667e+03 -1.4534360251054473e+06 +5.6815411875703993e+09 -2.5600676976430992e+13 +5.2360251848454544e+16 -4.1843143405441032e+19 
+1.2700000000000000e+02 -6.7267738723564533e-06 -7.4922028366066842e+00 +4.6247826040087257e+03 -1.4284538157598956e+06 +5.3699688801095638e+09 -2.4275965609451430e+13 +4.9785239575285664e+16 -3.9847085096829534e+19 
+1.2710000000000001e+02 -6.8124945060287642e-06 -7.4244918496016039e+00 +4.5846897309524547e+03 -1.5225890016963263e+06 +6.2116270792682762e+09 -2.7812735109564105e+13 +5.6740620604997728e+16 -4.4897823813576589e+19 
+1.2720000000000000e+02 -6.8982151405124386e-06 -7.3567808622517452e+00 +4.5445968374933154e+03 -1.6167237617001713e+06 +7.0532811783010311e+09 -3.1349484748726082e+13 +6.3695954575127456e+16 -4.9948519159833379e+19 
+1.2730000000000001e+02 -6.9839357790772787e-06 -7.2890698734695549e+00 +4.5045038660963282e+03 -1.7108569736546280e+06 +7.8949208727443142e+09 -3.4886166336584629e+13 +7.0651130394257768e+16 -5.4999070994853470e+19 
+1.2740000000000001e+02 -7.0696564124546264e-06 -7.2213588865131140e+00 +4.4644109941029137e+03 -1.8049921610921724e+06 +8.7365789610842762e+09 -3.8422934884792883e+13 +7.7606508456592864e+16 -6.0049806482164097e+19 
+1.2750000000000000e+02 -7.1553770461815963e-06 -7.1536478993277575e+00 +4.4243181066445968e+03 -1.8991270040505002e+06 +9.5782336046060219e+09 -4.1959686327550617e+13 +8.4561845283549328e+16 -6.5100503485671932e+19 
+1.2760000000000001e+02 -7.2410976873944156e-06 -7.0859369099024256e+00 +4.3842251086290116e+03 -1.9932597918686923e+06 +1.0419870022635765e+10 -4.5496354752369695e+13 +9.1516994618733104e+16 -7.0151034223527313e+19 
+1.2770000000000000e+02 -7.3268183141460929e-06 -7.0182259248693120e+00 +4.3441323291691078e+03 -2.0873966632530743e+06 +1.1261542781410854e+10 -4.9033189127770266e+13 +9.8472519452165968e+16 -7.5201898434885845e+19 
+1.2780000000000001e+02 -7.4125389481151939e-06 -6.9505149375794177e+00 +4.3040394355674325e+03 -2.1815313798088427e+06 +1.2103196227460665e+10 -5.2569934858679570e+13 +1.0542784293538301e+17 -8.0252583296571851e+19 
+1.2790000000000001e+02 -7.4982595843631745e-06 -6.8828039497473226e+00 +4.2639465196247265e+03 -2.2756657382807252e+06 +1.2944846871399900e+10 -5.6106669128948547e+13 +1.1238314285821190e+17 -8.5303248929385103e+19 
+1.2800000000000000e+02 -7.5839802181888712e-06 -6.8150929625485821e+00 +4.2238536321232559e+03 -2.3698005896481331e+06 +1.3786501656073170e+10 -5.9643421465249180e+13 +1.1933848217672834e+17 -9.0353948497686741e+19 
+1.2809999999999999e+02 -7.6620452210800684e-06 -6.7537698412687508e+00 +4.1673321727386265e+03 -2.0567228098693753e+06 +1.1021745701353605e+10 -4.7332150341161516e+13 +9.2405761852079728e+16 -6.7209819670182527e+19 
+1.2820000000000002e+02 -7.7401102369954459e-06 -6.6924467160003482e+00 +4.1108105134280695e+03 -1.7436412698182680e+06 +8.2569560862563467e+09 -3.5020724713939742e+13 +6.5472690354590936e+16 -4.4065377740132639e+19 
+1.2830000000000001e+02 -7.8181752244606299e-06 -6.6311235993706079e+00 +4.0542892841548082e+03 -1.4305677724157730e+06 +5.4922381296439829e+09 -2.2709626722628781e+13 +3.8540361102735264e+16 -2.0921595742318424e+19 
+1.2840000000000001e+02 -7.8962402282456045e-06 -6.5698004779154067e+00 +3.9977678194065256e+03 -1.1174899388942423e+06 +2.7274820152279410e+09 -1.0398356024369342e+13 +1.1607643865618972e+16 +2.2225287819049987e+18 
+1.2850000000000000e+02 -7.9743052292662210e-06 -6.5084773571106194e+00 +3.9412463806072305e+03 -8.0441250277014717e+05 -3.7271157100884467e+07 +1.9129033819821243e+12 -1.5325051745680766e+16 +2.5366636976134246e+19 
+1.2859999999999999e+02 -8.0523702330070059e-06 -6.4471542355654368e+00 +3.8847249078120972e+03 -4.9133446942790964e+05 -2.8020293906102338e+09 +1.4224184998925814e+13 -4.2257795981766648e+16 +4.8510787169334329e+19 
+1.2870000000000002e+02 -8.1304352378970908e-06 -6.3858311136629400e+00 +3.8282034168750261e+03 -1.7825609134928690e+05 -5.5667907355749378e+09 +2.6535480994292641e+13 -6.9190573083117096e+16 +7.1654966804658512e+19 
+1.2880000000000001e+02 -8.2085002507816336e-06 -6.3245079893881604e+00 +3.7716818096563611e+03 +1.3482443677687351e+05 -8.3315710683945179e+09 +3.8846863193176469e+13 -9.6123544345095040e+16 +9.4799318234941653e+19 
+1.2890000000000001e+02 -8.2865652374042892e-06 -6.2631848730136905e+00 +3.7151605933822643e+03 +4.4789768485464907e+05 -1.1096286751663002e+10 +5.1157950578895188e+13 -1.2305584915047824e+17 +1.1794307817128609e+20 
+1.2900000000000000e+02 -8.3646302458941998e-06 -6.2018617499997619e+00 +3.6586390463122966e+03 +7.6097712497254240e+05 -1.3861057647378408e+10 +6.3469290571206289e+13 -1.4998872654091472e+17 +1.4108734743133997e+20 
+1.2909999999999999e+02 -8.4377688561652871e-06 -6.1469233916889889e+00 +3.6277031285535541e+03 +6.3534744182929164e+05 -1.2633452885713045e+10 +5.7475548303201508e+13 -1.3552733377141971e+17 +1.2749287580670139e+20 
+1.2920000000000002e+02 -8.5109074814488542e-06 -6.0919850286787653e+00 +3.5967669721980651e+03 +5.0972228211161884e+05 -1.1405888827337887e+10 +5.1481993532643695e+13 -1.2106636824424920e+17 +1.1389878580706288e+20 
+1.2930000000000001e+02 -8.5840460930401592e-06 -6.0370466699825318e+00 +3.5658310358585063e+03 +3.8409293716452783e+05 -1.0178287010221020e+10 +4.5488264464350109e+13 -1.0660500487297850e+17 +1.0030433993647781e+20 
+1.2940000000000001e+02 -8.6571847147145275e-06 -5.9821083080824966e+00 +3.5348949349719383e+03 +2.5846674016351925e+05 -8.9507137256857586e+09 +3.9494667610096672e+13 -9.2143944253326752e+16 +8.6710165608383824e+19 
+1.2950000000000000e+02 -8.7303233263408912e-06 -5.9271699492565206e+00 +3.5039589882214891e+03 +1.3283764285479172e+05 -7.7231144690062923e+09 +3.3500951506115191e+13 -7.7682612524290496e+16 +7.3115749515999977e+19 
+1.2959999999999999e+02 -8.8034619547299183e-06 -5.8722315854263920e+00 +3.4730227949178420e+03 +7.2131242466988078e+03 -6.4955557978777285e+09 +2.7507420236110020e+13 -6.3221698225436696e+16 +5.9521703625924452e+19 
+1.2970000000000002e+02 -8.8766005703457800e-06 -5.8172932253549314e+00 +3.4420867849160868e+03 -1.1841477252878016e+05 -5.2679673593451042e+09 +2.1513754037790457e+13 -4.8760480372890360e+16 +4.5927389383449731e+19 
+1.2980000000000001e+02 -8.9497391847039978e-06 -5.7623548657089989e+00 +3.4111507976009307e+03 -2.4404311399422958e+05 -4.0403748211840625e+09 +1.5520068603589229e+13 -3.4299218048955716e+16 +3.2333034951303483e+19 
+1.2990000000000001e+02 -9.0228777998208690e-06 -5.7074165058816790e+00 +3.3802148029074497e+03 -3.6967133985922218e+05 -2.8127831618738971e+09 +9.5263866470084609e+12 -1.9837962620914728e+16 +1.8738685935565271e+19 
+1.3000000000000000e+02 -9.0960164221691621e-06 -5.6524781438352720e+00 +3.3492786967986581e+03 -4.9529746818353474e+05 -1.5852102880024409e+09 +3.5327909339037744e+12 -5.3769032226513450e+15 +5.1445116854667080e+18 
+1.3009999999999999e+02 -9.1624998127240401e-06 -5.6030743784086852e+00 +3.3246643885201092e+03 -6.3550962699845573e+05 -5.0378358328319538e+08 -7.3440569922091638e+11 +3.1427653909406625e+15 -1.5838350142856351e+18 
+1.3020000000000002e+02 -9.2289831951512828e-06 -5.5536706154384241e+00 +3.3000502022980550e+03 -7.7572406738534872e+05 +5.7766345137957168e+08 -5.0016953159013350e+12 +1.1662644748466120e+16 -8.3123691764327393e+18 
+1.3030000000000001e+02 -9.2954665990313934e-06 -5.5042668459880941e+00 +3.2754356939280692e+03 -9.1593248320910078e+05 +1.6590567851567066e+09 -9.2687392536687461e+12 +2.0181967169898944e+16 -1.5040407851027696e+19 
+1.3040000000000001e+02 -9.3619499965333222e-06 -5.4548630783944487e+00 +3.2508212756441339e+03 -1.0561425545053480e+06 +2.7404646805960708e+09 -1.3535849119377361e+13 +2.8701437795038804e+16 -2.1768577470392537e+19 
+1.3050000000000000e+02 -9.4284333822990234e-06 -5.4054593143828100e+00 +3.2262070363786479e+03 -1.1963559841119880e+06 +3.8219025707784624e+09 -1.7803096396911734e+13 +3.7221220226473480e+16 -2.8497024693753238e+19 
+1.3059999999999999e+02 -9.4949167787181205e-06 -5.3560555471768048e+00 +3.2015926396857576e+03 -1.3365664930867606e+06 +4.9033146085046492e+09 -2.2070226109535719e+13 +4.5740737521977336e+16 -3.5225237085914931e+19 
+1.3070000000000002e+02 -9.5614001673281600e-06 -5.3066517823565968e+00 +3.1769783620015924e+03 -1.4767792287615305e+06 +5.9847464804949541e+09 -2.6337446455694445e+13 +5.4260459998134536e+16 -4.1953631767501537e+19 
+1.3080000000000001e+02 -9.6278835638379472e-06 -5.2572480151404379e+00 +3.1523639649853003e+03 -1.6169897306486000e+06 +7.0661584309177752e+09 -3.0604575635505719e+13 +6.2779975775003712e+16 -4.8681842541746881e+19 
+1.3090000000000001e+02 -9.6943669600945275e-06 -5.2078442479574596e+00 +3.1277495683570114e+03 -1.7572002246846075e+06 +8.1475702198051796e+09 -3.4871703778481254e+13 +7.1299488704251544e+16 -5.5410050447444468e+19 
+1.3100000000000000e+02 -9.7608503466574713e-06 -5.1584404837528419e+00 +3.1031353212802533e+03 -1.8974135334586818e+06 +9.2290072077059460e+09 -3.9138947563826203e+13 +7.9819264388073728e+16 -6.2138492525585482e+19 
+1.3109999999999999e+02 -9.8243634709560793e-06 -5.1136569649593637e+00 +3.0742344776840991e+03 -1.9420086581736754e+06 +9.6691725753329277e+09 -4.1011484099393188e+13 +8.3714656240172672e+16 -6.5306449027307479e+19 
+1.3120000000000002e+02 -9.8878765945863613e-06 -5.0688734462661120e+00 +3.0453336357704961e+03 -1.9866037703193214e+06 +1.0109337535778509e+10 -4.2884017719298953e+13 +8.7610039570976752e+16 -6.8474396556878799e+19 
+1.3130000000000001e+02 -9.9513897146177918e-06 -5.0240899286925869e+00 +3.0164328502029916e+03 -2.0311999417689263e+06 +1.0549511958275181e+10 -4.4756594650113094e+13 +9.1505521056140128e+16 -7.1642431349794898e+19 
+1.3140000000000001e+02 -1.0014902833851128e-05 -4.9793064114646821e+00 +2.9875320857512215e+03 -2.0757965650990035e+06 +1.0989690811839037e+10 -4.6629193347215039e+13 +9.5401054676381024e+16 -7.4810514603327980e+19 
+1.3150000000000000e+02 -1.0078415957276165e-05 -4.9345228928209668e+00 +2.9586312460084887e+03 -2.1203917145960042e+06 +1.1429856085174147e+10 -4.8501728328880711e+13 +9.9296440967117744e+16 -7.7978464672016597e+19 
+1.3159999999999999e+02 -1.0141929077173320e-05 -4.8897393753102749e+00 +2.9297304645457170e+03 -2.1649879784887540e+06 +1.1870031450256947e+10 -5.0374310033259922e+13 +1.0319193416763645e+17 -8.1146510572154601e+19 
+1.3170000000000002e+02 -1.0205442195961717e-05 -4.8449558581885439e+00 +2.9008297041974038e+03 -2.2095846607443569e+06 +1.2310210699915886e+10 -5.2246910056501031e+13 +1.0708746987679322e+17 -8.4314594996664074e+19 
+1.3180000000000001e+02 -1.0268955315608281e-05 -4.8001723407262240e+00 +2.8719289242269515e+03 -2.2541809398075854e+06 +1.2750386111071909e+10 -5.4119491641485289e+13 +1.1098296218776877e+17 -8.7482639642833764e+19 
+1.3190000000000001e+02 -1.0332468439163636e-05 -4.7553888220922476e+00 +2.8430280862721124e+03 -2.2987761377428784e+06 +1.3190551905894655e+10 -5.5992029301277555e+13 +1.1487835504274613e+17 -9.0650595889085940e+19 
+1.3200000000000000e+02 -1.0395981557109807e-05 -4.7106053051791390e+00 +2.8141273349321059e+03 -2.3433729716859749e+06 +1.3630732402812609e+10 -5.7864634678978219e+13 +1.1877390228493637e+17 -9.3818690154223714e+19 
+1.3209999999999999e+02 -1.0455435162523685e-05 -4.6700726949945350e+00 +2.7808702743020972e+03 -2.2453788004213022e+06 +1.2854679584441187e+10 -5.4575886563937242e+13 +1.1198426950086538e+17 -8.8378118749300867e+19 
+1.3220000000000002e+02 -1.0514888758932278e-05 -4.6295400874413772e+00 +2.7476133410658176e+03 -2.1473869614572464e+06 +1.2078647199312948e+10 -5.1287230607485602e+13 +1.0519484316002192e+17 -8.2937729168949150e+19 
+1.3230000000000001e+02 -1.0574342356195696e-05 -4.5890074797592044e+00 +2.7143564059864416e+03 -2.0493951520904396e+06 +1.1302615521603197e+10 -4.7998579507045336e+13 +9.8405430820056208e+16 -7.7497354252106056e+19 
+1.3240000000000001e+02 -1.0633795949970248e-05 -4.5484748730179332e+00 +2.6810995138523908e+03 -1.9514040933624166e+06 +1.0526590176512466e+10 -4.4709956082830242e+13 +9.1616078844736320e+16 -7.2057031297883578e+19 
+1.3250000000000000e+02 -1.0693249548936859e-05 -4.5079422647299703e+00 +2.6478425454822086e+03 -1.8534116172005103e+06 +9.7505522498278122e+09 -4.1421275279719359e+13 +8.4826597113327168e+16 -6.6616593127974584e+19 
+1.3259999999999999e+02 -1.0752703149997130e-05 -4.4674096558605569e+00 +2.6145855500568832e+03 -1.7554186622337471e+06 +8.9745102510623493e+09 -3.8132576585844086e+13 +7.8037076226561648e+16 -6.1176121179181998e+19 
+1.3270000000000002e+02 -1.0812156749004461e-05 -4.4268770475452230e+00 +2.5813285798828083e+03 -1.6574261468692855e+06 +8.1984719407218552e+09 -3.4843893912629066e+13 +7.1247590058112280e+16 -5.5735678924803391e+19 
+1.3280000000000001e+02 -1.0871610347367997e-05 -4.3863444394047049e+00 +2.5480716177517502e+03 -1.5594337733052480e+06 +7.4224348368264513e+09 -3.1555216554217684e+13 +6.4458115566840200e+16 -5.0295246789222326e+19 
+1.3290000000000001e+02 -1.0931063945634509e-05 -4.3458118313946468e+00 +2.5148146654666380e+03 -1.4614416293890427e+06 +6.6464000885977173e+09 -2.8266551084437285e+13 +5.7668670060641840e+16 -4.4854841930999079e+19 
+1.3300000000000000e+02 -1.0990517551800041e-05 -4.3052792209469093e+00 +2.4815575903576282e+03 -1.3634471669557746e+06 +5.8703445303416233e+09 -2.4977789898826254e+13 +5.0879006645657464e+16 -3.9414242530259493e+19 
+1.3309999999999999e+02 -1.1045081069259041e-05 -4.2687526634799262e+00 +2.4524968691146205e+03 -1.2722341369165352e+06 +5.0784060980518122e+09 -2.1406192937426043e+13 +4.3085346587817056e+16 -3.2805638335210090e+19 
+1.3320000000000002e+02 -1.1099644605828670e-05 -4.2322261002091341e+00 +2.4234358584105630e+03 -1.1810156826529270e+06 +4.2864192517402253e+09 -1.7834374281491215e+13 +3.5291183636620888e+16 -2.6196586518051557e+19 
+1.3330000000000001e+02 -1.1154208144712236e-05 -4.1956995362050407e+00 +2.3943748101940241e+03 -1.0897965132881769e+06 +3.4944259424598618e+09 -1.4262525745672979e+13 +2.7496952388292284e+16 -1.9587473532759679e+19 
+1.3340000000000001e+02 -1.1208771668348680e-05 -4.1591729768800301e+00 +2.3653139969667805e+03 -9.9858176928433555e+05 +2.7024722795202165e+09 -1.0690859285725637e+13 +1.9703135128677244e+16 -1.2978729742532049e+19 
+1.3350000000000000e+02 -1.1263335200416427e-05 -4.1226464149680453e+00 +2.3362530535111550e+03 -9.0736456600968644e+05 +1.9104965262768731e+09 -7.1190911363743652e+12 +1.1909086174916438e+16 -6.3697789503907676e+18 
+1.3359999999999999e+02 -1.1317898737507018e-05 -4.0861198515223549e+00 +2.3071920337736215e+03 -8.1614594027581497e+05 +1.1185081440119972e+09 -3.5472654521221470e+12 +4.1149073247175665e+15 +2.3928696581348330e+17 
+1.3370000000000002e+02 -1.1372462266915040e-05 -4.0495932904417451e+00 +2.2781311326054824e+03 -7.2492954080401885e+05 +3.2653964307873094e+08 +2.4469205406495014e+10 -3.6790651367542205e+15 +6.8481692911163884e+18 
+1.3380000000000001e+02 -1.1427025798467116e-05 -4.0130667286621691e+00 +2.2490701954648312e+03 -6.3371245644170477e+05 -4.6543502342038441e+08 +3.5962322291897549e+12 -1.1473102108500170e+16 +1.3457109110033250e+19 
+1.3390000000000001e+02 -1.1481589325034389e-05 -3.9765401684519270e+00 +2.2200093379636778e+03 -5.4249687897410372e+05 -1.2573961604848704e+09 +7.1679330630282168e+12 -1.9266997644681208e+16 +2.0065922812157669e+19 
+1.3400000000000000e+02 -1.1536152855813936e-05 -3.9400136068954597e+00 +2.1909484112721188e+03 -4.5127997850060742e+05 -2.0493692798822083e+09 +1.0739689378120709e+13 -2.7061020138142120e+16 +2.6674850316532851e+19 
+1.3409999999999999e+02 -1.1588059902275633e-05 -3.9069575906671803e+00 +2.1691310769536049e+03 -4.9856208093427977e+05 -1.4115896658100538e+09 +7.4335534841240518e+12 -1.9178366078367680e+16 +1.9599775247603597e+19 
+1.3420000000000002e+02 -1.1639966951451897e-05 -3.8739015736023288e+00 +2.1473137003787533e+03 -5.4584338315615570e+05 -7.7381725644458854e+08 +4.1274508217416128e+12 -1.1295787863564846e+16 +1.2524768039601820e+19 
+1.3430000000000001e+02 -1.1691873991282628e-05 -3.8408455594016808e+00 +2.1254964674879752e+03 -5.9312738909194106e+05 -1.3602063898104227e+08 +8.2123703263494238e+11 -3.4129570645704690e+15 +5.4495356383628616e+18 
+1.3440000000000001e+02 -1.1743781036199566e-05 -3.8077895436207867e+00 +2.1036791546657969e+03 -6.4040988259114278e+05 +5.0176238288391823e+08 -2.4849141612629575e+12 +4.4697311344949265e+15 -1.6255693974503475e+18 
+1.3450000000000000e+02 -1.1795688082949896e-05 -3.7747335273058988e+00 +2.0818618159666403e+03 -6.8769190132930153e+05 +1.1395412353555975e+09 -5.7910465053127461e+12 +1.2352377012790328e+16 -8.7006370811941571e+18 
+1.3459999999999999e+02 -1.1847595124749813e-05 -3.7416775124373798e+00 +2.0600445474055414e+03 -7.3497520662738965e+05 +1.7773313800882423e+09 -9.0972298643021387e+12 +2.0235137335980756e+16 -1.5775805691545561e+19 
+1.3470000000000002e+02 -1.1899502164653583e-05 -3.7086214981708001e+00 +2.0382273097555112e+03 -7.8225910314386408e+05 +2.4151268822766318e+09 -1.2403438043980729e+13 +2.8117954487844384e+16 -2.2851025268638089e+19 
+1.3480000000000001e+02 -1.1951409209807542e-05 -3.6755654823124115e+00 +2.0164099928363323e+03 -8.2954151638634014e+05 +3.0529091624311547e+09 -1.5709585744516707e+13 +3.6000634575773876e+16 -2.9926122941732655e+19 
+1.3490000000000001e+02 -1.2003316259152652e-05 -3.6425094652189522e+00 +1.9945926156782846e+03 -8.7682281997237611e+05 +3.6906816718328137e+09 -1.9015689194384824e+13 +4.3883215199331616e+16 -3.7001132761632440e+19 
+1.3500000000000000e+02 -1.2055223302397014e-05 -3.6094534499711068e+00 +1.9727753302280710e+03 -9.2410583645178354e+05 +4.3284694262714758e+09 -2.2321862281576891e+13 +5.1765953450751000e+16 -4.4076282623057150e+19 
+1.3509999999999999e+02 -1.2102277886159144e-05 -3.5796167913438124e+00 +1.9515151883874969e+03 -8.8300430597759411e+05 +3.8872677955735941e+09 -1.9946239788976488e+13 +4.5914610351550456e+16 -3.8663979366437544e+19 
+1.3520000000000002e+02 -1.2149332474579524e-05 -3.5497801313217408e+00 +1.9302549774872614e+03 -8.4190148686685995e+05 +3.4460546939830441e+09 -1.7570564864203188e+13 +4.0063148465079576e+16 -3.3251570474833277e+19 
+1.3530000000000001e+02 -1.2196387066522063e-05 -3.5199434702817292e+00 +1.9089947178590153e+03 -8.0079778436435235e+05 +3.0048339168154478e+09 -1.5194855560897219e+13 +3.4211610018999236e+16 -2.7839094489705021e+19 
+1.3540000000000001e+02 -1.2243441652520648e-05 -3.4901068108930073e+00 +1.8877345353190717e+03 -7.5969545470897958e+05 +2.5636249082009549e+09 -1.2819198411585984e+13 +2.8360186723281524e+16 -2.2426718702368952e+19 
+1.3550000000000000e+02 -1.2290496238994364e-05 -3.4602701514985803e+00 +1.8664743571308495e+03 -7.1859326899323892e+05 +2.1224176033200183e+09 -1.0443550557675938e+13 +2.2508787221397272e+16 -1.7014366060477921e+19 
+1.3559999999999999e+02 -1.2337550826549817e-05 -3.4304334917462427e+00 +1.8452141599066274e+03 -6.7749070893318229e+05 +1.6812068311559625e+09 -8.0678863570853203e+12 +1.6657349759485928e+16 -1.1601978976088515e+19 
+1.3570000000000002e+02 -1.2384605417073169e-05 -3.4005968310957857e+00 +1.8239539183790755e+03 -6.3638732829973940e+05 +1.2399888132369766e+09 -5.6921892911845947e+12 +1.0805838362724502e+16 -6.1895265580164782e+18 
+1.3580000000000001e+02 -1.2431660006258105e-05 -3.3707601708515953e+00 +1.8026936969004207e+03 -5.9528431910306960e+05 +7.9877407653360569e+08 -3.3165071167001523e+12 +4.9543604882064750e+15 -7.7710378308622029e+17 
+1.3590000000000001e+02 -1.2478714595311203e-05 -3.3409235106483033e+00 +1.7814334774751674e+03 -5.5418134811980836e+05 +3.5755967614078772e+08 -9.4082645568766101e+11 -8.9711401646154738e+14 +4.6353160479849011e+18 
+1.3600000000000000e+02 -1.2525769183343310e-05 -3.3110868507402378e+00 +1.7601732723388361e+03 -5.1307863954253413e+05 -8.3652415863291487e+07 +1.4348437492848252e+12 -6.7485650017686700e+15 +1.0047715084478667e+19 
+1.3609999999999999e+02 -1.2569138473040339e-05 -3.2842069755870824e+00 +1.7462550601736534e+03 -5.6120465674982779e+05 +2.4287647655395734e+08 +3.8035125069808850e+11 -5.0388334927295030e+15 +8.9612048822793001e+18 
+1.3620000000000002e+02 -1.2612507758345959e-05 -3.2573271017095768e+00 +1.7323369098041201e+03 -6.0933180835817032e+05 +5.6941534057245672e+08 -6.7418637543645496e+11 -3.3290005642462455e+15 +7.8746050842825656e+18 
+1.3630000000000001e+02 -1.2655877052801790e-05 -3.2304472250536591e+00 +1.7184186208631631e+03 -6.5745636300356511e+05 +8.9593102198841965e+08 -1.7286178287461680e+12 -1.6194085152660952e+15 +6.7882197217863066e+18 
+1.3640000000000001e+02 -1.2699246339818884e-05 -3.2035673507354812e+00 +1.7045004510889366e+03 -7.0558318471305259e+05 +1.2224671626980119e+09 -2.7831437571498164e+12 +9.0399254271493531e+13 +5.7016413333247816e+18 
+1.3650000000000000e+02 -1.2742615631962786e-05 -3.1766874747621943e+00 +1.6905821955636789e+03 -7.5370835743577650e+05 +1.5489883086502025e+09 -3.8376000544818394e+12 +1.8000473461831240e+15 +4.6152063082499011e+18 
+1.3659999999999999e+02 -1.2785984916151854e-05 -3.1498076012455170e+00 +1.6766640637966800e+03 -8.0183586455211416e+05 +1.8755303856500406e+09 -4.8921525169256934e+12 +3.5099141261678085e+15 +3.5285762528558039e+18 
+1.3670000000000002e+02 -1.2829354207544772e-05 -3.1229277255971399e+00 +1.6627458277539029e+03 -8.4996144658128370e+05 +2.2020554817556934e+09 -5.9466279593407607e+12 +5.2196075589423720e+15 +2.4420994845455821e+18 
+1.3680000000000001e+02 -1.2872723497656369e-05 -3.0960478502668063e+00 +1.6488276051968910e+03 -8.9808724941021588e+05 +2.5285823348641286e+09 -7.0011106871769141e+12 +6.9293161430606310e+15 +1.3556102266744778e+18 
+1.3690000000000001e+02 -1.2916092787659317e-05 -3.0691679749626739e+00 +1.6349093836313975e+03 -9.4621306580205262e+05 +2.8551092716134381e+09 -8.0555936547344014e+12 +8.6390249974077760e+15 +2.6912093484412826e+17 
+1.3700000000000000e+02 -1.2959462076797278e-05 -3.0422880999674726e+00 +1.6209911790090014e+03 -9.9433922035882284e+05 +3.1816393656326971e+09 -9.1100915759836133e+12 +1.0348768673296120e+16 -8.1740000604839539e+17 
+1.3709999999999999e+02 -1.3002146265495592e-05 -3.0175789014795029e+00 +1.5978494834182570e+03 -8.9586201295381121e+05 +2.5456985781779165e+09 -6.9120857267893398e+12 +6.7284547620176440e+15 +1.3481630458491333e+18 
+1.3720000000000002e+02 -1.3044830452731807e-05 -2.9928697034195797e+00 +1.5747078087382299e+03 -7.9738519265174482e+05 +1.9097612205263679e+09 -4.7140955127113672e+12 +3.1081762201766810e+15 +3.5136946675524705e+18 
+1.3730000000000001e+02 -1.3087514643027101e-05 -2.9681605044484711e+00 +1.5515660890344343e+03 -6.9890753275900264e+05 +1.2738163888545194e+09 -2.5160711224570483e+12 -5.1217979184517900e+14 +5.6792952243568118e+18 
+1.3740000000000001e+02 -1.3130198834737869e-05 -2.9434513050377058e+00 +1.5284243471771597e+03 -6.0042945538350218e+05 +6.3786781818406093e+08 -3.1802957317590424e+11 -4.1325747847861980e+15 +7.8449305130157732e+18 
+1.3750000000000000e+02 -1.3172883025146559e-05 -2.9187421060161114e+00 +1.5052826245281635e+03 -5.0195173517461709e+05 +1.9224160882542797e+06 +1.8799975379748115e+12 -7.7529371590706250e+15 +1.0010536866946560e+19 
+1.3759999999999999e+02 -1.3215567211571167e-05 -2.8940329082431444e+00 +1.4821409654429299e+03 -4.0347522370358877e+05 -6.3401207712803328e+08 +4.0779742607406201e+12 -1.1373184433359176e+16 +1.2176040185088281e+19 
+1.3770000000000002e+02 -1.3258251401373131e-05 -2.8693237094152915e+00 +1.4589992527259478e+03 -3.0499769309363590e+05 -1.2699557635549409e+09 +6.2759934310753174e+12 -1.4993528638826742e+16 +1.4341630251998415e+19 
+1.3780000000000001e+02 -1.3300935595544710e-05 -2.8446145092547526e+00 +1.4358574734516378e+03 -2.0651891471403494e+05 -1.9059105879664426e+09 +8.4740636009157676e+12 -1.8613988518423832e+16 +1.6507323265420620e+19 
+1.3790000000000001e+02 -1.3343619777509680e-05 -2.8199053128207145e+00 +1.4127158805214581e+03 -1.0804363366948505e+05 -2.5418341651812959e+09 +1.0671990584342510e+13 -2.2234123425263656e+16 +1.8672726909613081e+19 
+1.3800000000000000e+02 -1.3386303970370661e-05 -2.7951961130560679e+00 +1.3895741208624406e+03 -9.5652205504115555e+03 -3.1777857477091961e+09 +1.2870045981538965e+13 -2.5854549936026348e+16 +2.0838390330407780e+19 
